,tsi,stfi,caliper,moisture,basisweight,rct,prediction
58,4.6,22.39,12.6,6.39,42.28,100,93.28676248
59,4.78,21.36,13.5,6.24,42.29,94,93.73392604
60,4.72,25.65,11.6,6.33,42.39,100,97.16319666
61,4.37,22.04,12.6,6.57,42.4,91,91.84938389
62,4.99,23.8,11.6,6.83,42.4,92,94.9749285
63,5.18,25.89,11.77,6.76,42.44,99,97.84833467
64,4.73,22.84,13.41,6.67,42.51,93,93.66855511
65,5.11,24.5,11.89,6.31,42.53,99,98.03758987
66,4.61,18.98,12.69,7.01,42.54,91,89.37210611
67,4.66,21.5,13.53,6.32,42.55,92,93.62982821
68,4.25,19.07,12.57,7.27,42.56,87,87.9332089
69,4.93,25.66,11.75,7.29,42.7,96,95.5618788
70,5.21,23.05,11.86,6.34,42.71,97,97.58481178
71,4.97,25.08,11.55,7.3,42.77,94,95.51141641
72,4.73,25.06,11.67,6.84,42.79,96,95.67491715
73,5.09,24.3,12.07,6.44,42.86,98,98.07595329
74,5.07,24.01,12.01,6.35,42.92,99,98.19231091
75,4.82,24.54,12.19,7.25,42.93,94,94.7006304
76,4.69,17.96,13.83,6.34,42.96,93,92.44633105
77,4.67,20.88,12.63,6.67,43.05,93,92.88209719
78,5.01,24.85,12.36,6.87,43.17,92,97.22380239
79,4.82,24.67,11.79,7.35,43.21,96,95.28970449
80,5.01,21.9,12.63,6.28,43.24,98,97.09996781
81,5.09,24.35,12.02,6.91,43.28,101,97.34371806
82,4.84,24.89,11.8,6.77,43.29,98,97.27574661
83,4.93,24.74,12.11,6.45,43.31,99,98.73257171
84,5.09,23.04,12.14,6.71,43.46,99,97.35850533
85,4.91,24.78,12.31,6.77,43.56,94,98.00058655
86,4.67,20.61,13.12,6.09,43.93,94,96.66844213
87,4.3,20.99,12.98,6.91,44.02,93,92.97467828
88,4.98,25.25,12.27,6.93,44.08,99,99.21355109
89,4.98,22.93,12.64,6.57,44.16,101,98.8233324
90,4.91,25.14,12.61,6.6,44.23,102,100.4830748
91,4.88,24.82,12.52,6.97,44.44,93,99.1111478
92,4.98,25.48,12.17,6.91,44.61,102,100.6366083
93,4.94,25.67,13.01,6.31,45.29,96,104.4778429
94,4.86,25.05,11.56,6.69,45.83,99,103.3051673
95,4.9,23.18,13.5,6.95,45.92,100,101.006863
96,4.55,21.92,13.78,6.43,45.95,100,99.8442236
97,5.09,25.26,12.71,6.36,45.96,105,106.1578658
98,5.08,26.56,13.78,6.37,47.88,110,110.9539316
99,4.88,25.65,14.41,6.44,48.08,108,108.7431858
100,5.17,27.56,14.04,6.34,48.39,116,113.0475676
101,4.84,25.98,13.57,6.82,48.54,107,108.8377571
102,4.72,28.45,13.75,7.58,48.8,108,106.9689464
103,5.18,25.35,14.55,6.6,49.67,100,111.9276956
104,4.84,27,15.64,6.42,49.77,117,111.1505817
105,4.62,25.27,15.84,6.15,50.26,110,108.5481197
106,5.23,30.66,15.26,5.75,51.81,131,119.6739018
107,4.83,29.87,15.01,6.95,52.04,126,115.622513
108,5.19,28.51,15.37,6.56,52.27,127,118.0412791
109,4.74,29.04,17.11,5.82,52.67,93,112.7002403
110,4.93,25.88,16.36,5.8,53.96,128,115.2351558
111,5.04,28.69,15.96,6.32,54.12,117,119.302468
